Absorption Lines (A)	Closest NIST Wavelength (A)	Corresponding Ion
6464.322987694765	6464.353	Ca I
6473.432433059949	6473.45	Ca I
6495.549774602509	6495.576	Ca I
6501.426836128435	6501.446	Ca I
6574.576661921103	6574.595	Ca I
6719.504999150402	6719.536	Ca I
7150.097706949817	7150.0	Ca I
7204.147082783237	7204.0	Ca I
7328.153080980238	7328.0	Ca I
8500.352592530982	8500.36	Ca II
8544.450144180502	8544.44	Ca II
8664.51851115514	8664.52	Ca II
