Absorption_Lines_(A),Closest_NIST_Wavelength_(A),Corresponding_Ion
6464.322988,6464.353,Ca I
6473.432433,6473.45,Ca I
6495.549775,6495.576,Ca I
6496.744777,6496.7747,Fe I
6548.051524,6548.0458,Fe I
6556.024738,6556.0336,Ti I
6557.866217,6557.8729,Ti I
6574.576662,6574.595,Ca I
6594.715393,6594.7331,Fe I
6595.655723,6595.6904,Fe I
6600.905898,6600.9285,Ti I
6665.259721,6665.2807,Fe I
6679.815244,6679.8286,Fe I
6719.504999,6719.536,Ca I
6980.740384,6980.775,Fe I
7204.147083,7204,Ca I
7211.415049,7211.4228,Ti I
7246.83414,7246.851,Ti I
7253.690711,7253.7078,Ti I
7328.153081,7328,Ca I
7346.705005,7346.7186,Ti I
7359.732492,7359.7538,Ti I
7366.118898,7366.1298,Ti I
7666.358382,7666.4029,Fe I
7750.400361,7750.4017,Fe I
7951.337095,7951.338,Ti I
8001.115806,8001.1438,Fe I
8049.817056,8049.8297,Fe I
8185.498816,8185.5053,Na I
8437.272132,8437.272,Ti I
8437.957789,8437.97,Ti I
8470.751793,8470.7329,Fe I
8500.352593,8500.36,Ca II
8516.416561,8516.4106,Fe I
8544.450144,8544.44,Ca II
8664.518511,8664.52,Ca II
8677.134603,8677.1284,Fe I
8677.7419,8677.755,Ti I
8685.362489,8685.368,Ti I
8691.004468,8691.0097,Fe I
8826.647048,8826.6426,Fe I
